ID,block,trial,stimulus,signal,correct,respons,rt,re,ssd
1011,0,0,2,0,2,2,797,1,0
1011,0,1,1,0,2,1,596,1,0
1011,0,2,2,0,2,2,721,1,0
1011,0,3,2,0,2,2,696,1,0
1011,0,4,1,0,2,1,671,0,0
1011,0,5,1,0,2,1,901,1,0
1011,0,6,2,0,2,2,836,347,0
1011,0,7,1,1,2,0,0,0,300
1011,0,8,2,1,2,0,0,0,350
1011,0,9,2,0,2,2,822,0,0
1011,0,10,1,0,2,1,701,0,0
1011,0,11,2,1,0,2,555,1,400
1011,0,12,1,0,2,1,761,1,0
1011,0,13,2,0,2,2,941,1,0
1011,0,14,2,0,2,2,950,1,0
1011,0,15,2,0,2,2,955,1,0
1011,0,16,1,0,2,1,764,0,0
1011,0,17,1,0,2,1,743,1,0
1011,0,18,1,0,2,1,602,1,0
1011,0,19,1,0,2,1,716,0,0
1011,0,20,2,0,2,2,776,1,0
1011,0,21,2,0,2,2,741,0,0
1011,0,22,1,1,2,0,0,0,350
1011,0,23,1,0,2,1,882,1,0
1011,0,24,2,0,2,2,791,0,0
1011,0,25,2,1,2,0,0,0,400
1011,0,26,1,1,2,0,0,0,450
1011,0,27,2,1,0,2,512,1,500
1011,0,28,1,0,2,1,780,1,0
1011,0,29,2,0,2,2,739,1,0
1011,0,30,1,0,2,1,883,1,0
1011,0,31,1,0,2,1,652,1,0
1011,0,32,2,0,2,2,746,0,0
1011,0,33,2,1,2,0,0,0,450
1011,0,34,1,0,2,1,1103,0,0
1011,0,35,1,0,2,1,1169,0,0
1011,0,36,2,0,2,2,865,1,0
1011,0,37,2,0,2,2,925,1,0
1011,0,38,1,0,2,1,1051,1,0
1011,0,39,1,0,2,1,942,0,0
1011,0,40,1,0,2,1,1013,1,0
1011,0,41,1,0,2,1,1003,1,0
1011,0,42,2,0,2,2,945,1,0
1011,0,43,1,0,2,1,1021,388,0
1011,0,44,2,0,2,2,764,1,0
1011,0,45,1,0,2,1,777,270,0
1011,0,46,2,1,2,0,0,0,500
1011,0,47,1,1,2,0,0,0,550
1011,0,48,2,0,2,2,938,1,0
1011,0,49,1,0,2,1,908,1,0
1011,0,50,1,0,2,1,953,1,0
1011,0,51,2,0,2,2,1089,0,0
1011,0,52,2,1,2,0,0,0,600
1011,0,53,2,0,2,2,624,1,0
1011,0,54,1,1,0,1,823,1,650
1011,0,55,1,1,0,1,556,1,600
1011,0,56,2,1,2,0,0,0,550
1011,0,57,2,0,2,2,818,1,0
1011,0,58,1,0,2,1,1014,1,0
1011,0,59,1,1,2,0,0,0,600
1011,0,60,1,1,0,1,1056,1,650
1011,0,61,2,0,2,2,869,1,0
1011,0,62,2,0,0,1,1016,1,0
1011,0,63,2,0,0,1,667,1,0
1011,1,0,2,0,2,2,1045,0,0
1011,1,1,1,0,2,1,895,1,0
1011,1,2,2,0,2,2,947,1,0
1011,1,3,1,1,0,1,983,1,600
1011,1,4,1,0,2,1,834,1,0
1011,1,5,1,0,2,1,1238,0,0
1011,1,6,1,0,2,1,1028,1,0
1011,1,7,2,1,2,0,0,0,550
1011,1,8,2,0,2,2,770,1,0
1011,1,9,1,0,2,1,1026,1,0
1011,1,10,1,0,2,1,1005,1,0
1011,1,11,1,0,2,1,985,0,0
1011,1,12,1,0,2,1,1052,1,0
1011,1,13,1,1,2,0,0,0,600
1011,1,14,2,0,2,2,1121,1,0
1011,1,15,2,0,2,2,1131,108,0
1011,1,16,1,0,2,1,1127,1,0
1011,1,17,1,0,2,1,1007,0,0
1011,1,18,2,0,2,2,1123,1,0
1011,1,19,2,0,2,2,1249,345,0
1011,1,20,2,0,2,2,940,1,0
1011,1,21,2,0,2,2,763,1,0
1011,1,22,1,0,2,1,890,1,0
1011,1,23,1,1,2,0,0,0,650
1011,1,24,1,1,2,0,0,0,700
1011,1,25,2,1,2,0,0,0,750
1011,1,26,1,0,2,1,852,1,0
1011,1,27,2,0,2,2,918,1,0
1011,1,28,2,0,2,2,1010,1,0
1011,1,29,2,1,0,2,916,1,800
1011,1,30,2,0,2,2,821,0,0
1011,1,31,1,0,2,1,914,1,0
1011,1,32,2,0,2,2,850,1,0
1011,1,33,1,0,2,1,727,1,0
1011,1,34,2,0,2,2,1033,334,0
1011,1,35,2,0,2,2,1042,0,0
1011,1,36,1,1,0,1,888,1,750
1011,1,37,2,0,2,2,877,0,0
1011,1,38,2,0,0,1,1069,1,0
1011,1,39,1,0,2,1,964,339,0
1011,1,40,1,0,2,1,879,425,0
1011,1,41,1,0,2,1,646,1,0
1011,1,42,2,0,2,2,686,1,0
1011,1,43,2,0,2,2,695,1,0
1011,1,44,2,0,2,2,585,0,0
1011,1,45,1,0,2,1,724,1,0
1011,1,46,1,1,0,1,822,1,700
1011,1,47,1,0,0,0,0,0,0
1011,1,48,2,0,2,2,546,0,0
1011,1,49,2,1,0,2,788,1,650
1011,1,50,2,0,2,2,893,0,0
1011,1,51,2,1,2,0,0,0,600
1011,1,52,2,1,0,2,833,1,650
1011,1,53,2,0,2,2,980,1,0
1011,1,54,2,1,2,0,0,0,600
1011,1,55,2,0,2,2,965,1,0
1011,1,56,1,0,2,1,1177,1,0
1011,1,57,1,0,2,1,917,1,0
1011,1,58,1,1,0,1,823,1,650
1011,1,59,1,1,2,0,0,0,600
1011,1,60,2,1,2,0,0,0,650
1011,1,61,1,0,2,1,825,1,0
1011,1,62,1,0,2,1,1002,0,0
1011,1,63,1,0,2,1,1138,511,0
1011,2,0,1,0,0,2,970,0,0
1011,2,1,1,0,2,1,1012,1,0
1011,2,2,1,0,2,1,835,1,0
1011,2,3,1,0,2,1,784,372,0
1011,2,4,1,0,2,1,708,1,0
1011,2,5,1,1,0,1,1130,1,700
1011,2,6,2,0,2,2,1001,1,0
1011,2,7,1,0,2,1,1089,1,0
1011,2,8,1,0,2,1,1125,330,0
1011,2,9,2,0,0,1,1111,1,0
1011,2,10,2,0,2,2,766,0,0
1011,2,11,1,1,2,0,0,0,650
1011,2,12,2,0,2,2,1045,649,0
1011,2,13,2,1,2,0,0,0,700
1011,2,14,1,0,2,1,1235,1,0
1011,2,15,2,0,0,0,0,0,0
1011,2,16,1,0,2,1,626,1,0
1011,2,17,2,0,2,2,800,0,0
1011,2,18,2,1,0,2,891,1,750
1011,2,19,2,1,2,0,0,0,700
1011,2,20,2,0,2,2,825,0,0
1011,2,21,2,1,0,2,921,1,750
1011,2,22,1,1,0,1,857,1,700
1011,2,23,1,0,2,1,1024,1,0
1011,2,24,2,0,2,2,1046,1,0
1011,2,25,1,1,2,0,0,0,650
1011,2,26,2,0,0,0,0,0,0
1011,2,27,2,0,2,2,917,1,0
1011,2,28,1,0,2,1,1021,0,0
1011,2,29,2,0,2,2,1002,0,0
1011,2,30,2,0,2,2,1051,1,0
1011,2,31,1,0,2,1,1048,0,0
1011,2,32,2,0,2,2,1170,1,0
1011,2,33,2,0,2,2,1157,1,0
1011,2,34,1,0,0,0,0,0,0
1011,2,35,2,1,2,0,0,0,700
1011,2,36,1,1,2,0,0,0,750
1011,2,37,1,0,2,1,955,1,0
1011,2,38,2,0,2,2,964,1,0
1011,2,39,1,1,0,1,938,338,800
1011,2,40,2,0,2,2,1145,1,0
1011,2,41,2,0,2,2,1006,1,0
1011,2,42,1,0,2,1,1077,1,0
1011,2,43,2,0,2,2,1063,1,0
1011,2,44,2,0,2,2,1028,1,0
1011,2,45,2,1,0,2,838,1,750
1011,2,46,1,0,2,1,1039,1,0
1011,2,47,1,0,2,1,794,0,0
1011,2,48,1,0,2,1,724,0,0
1011,2,49,2,1,2,0,0,0,700
1011,2,50,2,0,2,2,1091,0,0
1011,2,51,2,0,0,0,0,0,0
1011,2,52,2,0,2,2,1133,0,0
1011,2,53,2,1,0,2,871,0,750
1011,2,54,1,0,0,0,0,0,0
1011,2,55,1,0,2,1,993,335,0
1011,2,56,1,0,2,1,749,1,0
1011,2,57,1,0,2,1,804,1,0
1011,2,58,1,1,0,1,824,1,700
1011,2,59,1,0,2,1,989,1,0
1011,2,60,2,0,0,0,0,0,0
1011,2,61,1,0,0,0,0,0,0
1011,2,62,2,0,2,2,1080,1,0
1011,2,63,1,1,0,1,718,2,650